
イメージ名                     PID サービス                                    
========================= ======== ============================================
System Idle Process              0 N/A                                         
System                           4 N/A                                         
Registry                        96 N/A                                         
smss.exe                       564 N/A                                         
csrss.exe                      728 N/A                                         
wininit.exe                    816 N/A                                         
services.exe                   892 N/A                                         
lsass.exe                      912 EFS, KeyIso, Netlogon, SamSs, VaultSvc      
svchost.exe                     68 PlugPlay                                    
svchost.exe                    616 BrokerInfrastructure, DcomLaunch, Power,    
                                   SystemEventsBroker                          
fontdrvhost.exe                640 N/A                                         
svchost.exe                    396 RpcEptMapper, RpcSs                         
svchost.exe                   1064 LSM                                         
WUDFHost.exe                  1144 N/A                                         
WUDFHost.exe                  1212 N/A                                         
WUDFHost.exe                  1260 N/A                                         
svchost.exe                   1456 nsi                                         
svchost.exe                   1464 W32Time                                     
svchost.exe                   1504 bthserv                                     
svchost.exe                   1528 BthAvctpSvc                                 
svchost.exe                   1612 Dhcp                                        
svchost.exe                   1644 TimeBrokerSvc                               
svchost.exe                   1660 NcbService                                  
svchost.exe                   1676 Dnscache                                    
svchost.exe                   1800 hidserv                                     
svchost.exe                   1816 EventSystem                                 
svchost.exe                   1936 BTAGService                                 
svchost.exe                   1976 EventLog                                    
svchost.exe                      8 BFE, CoreMessagingRegistrar, mpssvc         
svchost.exe                   1120 SENS                                        
svchost.exe                   1352 DeviceAssociationService                    
igfxCUIService.exe            2072 igfxCUIService2.0.0.0                       
svchost.exe                   2080 ProfSvc                                     
svchost.exe                   2088 NlaSvc                                      
svchost.exe                   2152 camsvc                                      
svchost.exe                   2264 PhoneSvc                                    
svchost.exe                   2284 UserManager                                 
ibmpmsvc.exe                  2452 IBMPMSVC                                    
LPlatSvc.exe                  2460 LPlatSvc                                    
svchost.exe                   2476 Schedule                                    
svchost.exe                   2516 netprofm                                    
svchost.exe                   2700 Themes                                      
svchost.exe                   2708 SysMain                                     
svchost.exe                   2820 lfsvc                                       
svchost.exe                   2836 AudioEndpointBuilder                        
svchost.exe                   2848 FontCache                                   
Memory Compression            2864 N/A                                         
svchost.exe                   3052 Audiosrv                                    
svchost.exe                   2024 DusmSvc                                     
svchost.exe                   2100 Wcmsvc                                      
svchost.exe                   3096 StateRepository                             
svchost.exe                   3156 WinHttpAutoProxySvc                         
svchost.exe                   3208 Winmgmt                                     
svchost.exe                   3300 iphlpsvc                                    
svchost.exe                   3308 WlanSvc                                     
svchost.exe                   3396 ShellHWDetection                            
spoolsv.exe                   3504 Spooler                                     
svchost.exe                   3604 LanmanWorkstation                           
wlanext.exe                   3712 N/A                                         
conhost.exe                   3748 N/A                                         
IntelCpHDCPSvc.exe            3804 cplspcon                                    
svchost.exe                   3812 CryptSvc                                    
CxAudMsg64.exe                3828 CxAudMsg                                    
svchost.exe                   3836 DiagTrack                                   
EvtEng.exe                    3844 EvtEng                                      
ibtsiva.exe                   3860 ibtsiva                                     
Lenovo.Modern.ImControlle     3868 ImControllerService                         
IntelTechnologyAccessServ     3884 Intel(R) TechnologyAccessService            
CxUtilSvc.exe                 3904 CxUtilSvc                                   
svchost.exe                   3920 DPS                                         
PresentationFontCache.exe     3936 FontCache3.0.0.0                            
svchost.exe                   4120 LanmanServer                                
svchost.exe                   4176 SstpSvc                                     
Ntrtscan.exe                  4204 ntrtscan                                    
RegSrvc.exe                   4196 RegSrvc                                     
SASrv.exe                     4212 SAService                                   
SecurityHealthService.exe     4284 SecurityHealthService                       
svchost.exe                   4292 stisvc                                      
svchost.exe                   4324 Netman                                      
SynTPEnhService.exe           4364 SynTPEnhService                             
tphkload.exe                  4428 TPHKLOAD                                    
svchost.exe                   4464 TrkWks                                      
svchost.exe                   4488 WpnService                                  
ZeroConfigService.exe         4528 ZeroConfigService                           
svchost.exe                   5096 RasMan                                      
IntelCpHeciSvc.exe            5300 cphs                                        
svchost.exe                   5480 WdiServiceHost                              
unsecapp.exe                  5888 N/A                                         
svchost.exe                   6012 PolicyAgent                                 
svcGenericHost.exe            4332 svcGenericHost                              
TmListen.exe                  2532 tmlisten                                    
WmiPrvSE.exe                  6036 N/A                                         
svchost.exe                   6420 PcaSvc                                      
svchost.exe                   6432 LicenseManager                              
HostedAgent.exe               6812 N/A                                         
conhost.exe                   6820 N/A                                         
logWriter.exe                 1576 N/A                                         
conhost.exe                   5660 N/A                                         
TMCPMAdapter.exe              7904 N/A                                         
conhost.exe                   7912 N/A                                         
TMBMSRV.exe                   7500 TMBMServer                                  
svchost.exe                   8268 DoSvc                                       
svchost.exe                   1092 UsoSvc, wuauserv                            
ioc.exe                       9020 Intel(R) Online Connect                     
svchost.exe                   8800 StorSvc                                     
aesm_service.exe              8856 AESMService                                 
jhi_service.exe               7532 jhi_service                                 
SocketHeciServer.exe          9348 Intel(R) Capability Licensing Service TCP IP
                                    Interface                                  
svchost.exe                   3172 SSDPSRV                                     
svchost.exe                   4044 CDPSvc                                      
LMS.exe                       6900 LMS                                         
SgrmBroker.exe                9908 SgrmBroker                                  
svchost.exe                   4104 wscsvc                                      
svchost.exe                   6772 TokenBroker                                 
svchost.exe                   6524 Appinfo                                     
svchost.exe                   9532 TabletInputService                          
rundll32.exe                  3336 N/A                                         
TmPfw.exe                    14820 TmPfw                                       
svchost.exe                  11556 DsSvc                                       
svchost.exe                  12736 wlidsvc                                     
svchost.exe                  16476 RmSvc                                       
OfficeClickToRun.exe         14512 ClickToRunSvc                               
AppVShNotify.exe             15312 N/A                                         
SearchIndexer.exe             9328 WSearch                                     
InstantOnSrv.exe             17216 Lenovo Instant On                           
dasHost.exe                  12220 N/A                                         
TpShUI.exe                   15856 N/A                                         
TmCCSF.exe                   15756 TmCCSF                                      
svchost.exe                   8240 SEMgrSvc                                    
dasHost.exe                   6564 N/A                                         
dasHost.exe                   6156 N/A                                         
svchost.exe                  18636 seclogon                                    
svchost.exe                   5416 BITS                                        
svchost.exe                   9944 AppMgmt                                     
csrss.exe                     9416 N/A                                         
winlogon.exe                   196 N/A                                         
fontdrvhost.exe              12088 N/A                                         
dwm.exe                      12028 N/A                                         
svchost.exe                   5744 lmhosts                                     
SynTPEnh.exe                 13884 N/A                                         
tposd.exe                    21252 N/A                                         
shtctky.exe                   8852 N/A                                         
svchost.exe                   9332 CDPUserSvc_286a1522                         
sihost.exe                   18556 N/A                                         
svchost.exe                  11380 WpnUserService_286a1522                     
taskhostw.exe                 5632 N/A                                         
igfxEM.exe                   11440 N/A                                         
SynTPHelper.exe              17048 N/A                                         
explorer.exe                 16448 N/A                                         
ShellExperienceHost.exe       8284 N/A                                         
TSVNCache.exe                19972 N/A                                         
SearchUI.exe                 18228 N/A                                         
RuntimeBroker.exe            11728 N/A                                         
RuntimeBroker.exe            21036 N/A                                         
rundll32.exe                 13052 N/A                                         
SkypeApp.exe                 10440 N/A                                         
ctfmon.exe                   20348 N/A                                         
SkypeBackgroundHost.exe      19312 N/A                                         
RuntimeBroker.exe            12752 N/A                                         
igfxext.exe                  15888 N/A                                         
RuntimeBroker.exe            13860 N/A                                         
MSASCuiL.exe                 21316 N/A                                         
dllhost.exe                  17512 N/A                                         
OUTLOOK.EXE                    376 N/A                                         
TortoiseProc.exe              9584 N/A                                         
slack.exe                    12908 N/A                                         
PccNtMon.exe                 16760 N/A                                         
jusched.exe                  20128 N/A                                         
slack.exe                    16504 N/A                                         
slack.exe                     4420 N/A                                         
slack.exe                     5852 N/A                                         
slack.exe                     6852 N/A                                         
iexplore.exe                  6684 N/A                                         
iexplore.exe                 14840 N/A                                         
chrome.exe                   18136 N/A                                         
chrome.exe                   20076 N/A                                         
chrome.exe                   20676 N/A                                         
chrome.exe                   18116 N/A                                         
chrome.exe                   12492 N/A                                         
chrome.exe                    9724 N/A                                         
chrome.exe                   15248 N/A                                         
chrome.exe                    3984 N/A                                         
CAudioFilterAgent64.exe      12796 N/A                                         
DolbyDAX2API.exe              9884 Dolby DAX2 API Service                      
chrome.exe                   11300 N/A                                         
SmartAudio.exe                1000 N/A                                         
chrome.exe                   16396 N/A                                         
svchost.exe                  11896 OneSyncSvc_286a1522,                        
                                   PimIndexMaintenanceSvc_286a1522,            
                                   UnistoreSvc_286a1522, UserDataSvc_286a1522  
cmd.exe                      12820 N/A                                         
conhost.exe                   4100 N/A                                         
LSB.exe                      13568 N/A                                         
LockApp.exe                  20008 N/A                                         
RuntimeBroker.exe             8272 N/A                                         
Lenovo.Modern.ImControlle    18812 N/A                                         
ImeBroker.exe                11476 N/A                                         
OneDrive.exe                 17532 N/A                                         
Lenovo.Modern.ImControlle    14072 N/A                                         
chrome.exe                   19876 N/A                                         
ApplicationFrameHost.exe     20672 N/A                                         
MicrosoftEdge.exe            11072 N/A                                         
browser_broker.exe           14264 N/A                                         
RuntimeBroker.exe             5024 N/A                                         
MicrosoftEdgeCP.exe            556 N/A                                         
MicrosoftEdgeCP.exe          14108 N/A                                         
chrome.exe                   18624 N/A                                         
eclipse.exe                  19024 N/A                                         
javaw.exe                    18084 N/A                                         
